,status,currency,country_code,Country
id,failed,USD,US,
1,success,NGN,NG,
2,abandoned,NGN,null,
3,success,NGN,NG,
4,abandoned,NGN,NG,
5,abandoned,NGN,null,
6,success,NGN,NG,
7,abandoned,USD,null,
8,abandoned,NGN,null,
9,abandoned,NGN,null,
10,success,NGN,NG,
11,failed,USD,US,
12,abandoned,NGN,NG,
13,success,NGN,NG,
14,abandoned,NGN,NG,
15,success,NGN,NG,
16,abandoned,NGN,null,
17,abandoned,NGN,null,
18,abandoned,USD,US,
19,failed,USD,US,
20,success,NGN,US,
21,failed,NGN,GB,
22,abandoned,NGN,null,
23,abandoned,NGN,GH,
24,failed,NGN,GB,
25,success,NGN,NG,
26,failed,NGN,NG,
27,failed,NGN,null,
28,failed,NGN,NG,
29,abandoned,USD,null,
30,abandoned,USD,US,
31,success,NGN,NG,
32,abandoned,USD,null,
33,success,NGN,NG,
34,abandoned,NGN,null,
35,failed,NGN,NG,
36,abandoned,USD,null,
37,abandoned,NGN,null,
38,success,USD,ZA,
39,success,NGN,NG,
40,abandoned,NGN,NG,
41,abandoned,NGN,null,
42,abandoned,NGN,null,
43,success,NGN,NG,
44,abandoned,NGN,null,
45,abandoned,NGN,null,
46,abandoned,NGN,null,
47,success,NGN,GB,
48,abandoned,NGN,null,
49,failed,NGN,NG,
50,success,NGN,NG,
51,abandoned,NGN,null,
52,success,NGN,GB,
53,abandoned,NGN,null,
54,abandoned,NGN,null,
55,success,NGN,NG,
56,success,NGN,NG,
57,abandoned,NGN,null,
58,success,NGN,NG,
59,success,USD,GB,
60,success,NGN,NG,
61,success,NGN,NG,
62,abandoned,USD,US,
63,abandoned,NGN,null,
64,success,NGN,NG,
65,abandoned,USD,null,
66,success,NGN,,
67,abandoned,NGN,null,
68,abandoned,NGN,null,
69,success,NGN,NG,
70,abandoned,NGN,null,
71,abandoned,USD,null,
72,abandoned,NGN,null,
73,abandoned,NGN,null,
74,success,NGN,NG,
75,abandoned,NGN,null,
76,failed,NGN,NG,
77,success,NGN,NG,
78,abandoned,NGN,null,
79,success,NGN,NG,
80,success,NGN,NG,
81,abandoned,NGN,null,
82,success,USD,US,
83,success,NGN,NG,
84,success,NGN,NG,
85,abandoned,NGN,null,
86,success,NGN,NG,
87,failed,NGN,US,
88,success,USD,US,
89,abandoned,NGN,null,
90,abandoned,NGN,null,
91,success,NGN,NG,
92,abandoned,NGN,null,
93,abandoned,NGN,null,
94,success,NGN,NG,
95,abandoned,USD,null,
96,success,NGN,NG,
97,failed,NGN,NG,
98,abandoned,NGN,null,
99,abandoned,USD,null,
100,failed,NGN,NG,
101,abandoned,NGN,null,
102,success,NGN,GB,
103,success,USD,US,
104,abandoned,NGN,null,
105,success,USD,,
106,abandoned,NGN,null,
107,success,NGN,GB,
108,abandoned,NGN,null,
109,abandoned,NGN,null,
110,abandoned,USD,null,
111,abandoned,NGN,null,
112,success,NGN,NG,
113,abandoned,NGN,null,
114,abandoned,NGN,null,
115,success,NGN,NG,
116,abandoned,NGN,null,
117,abandoned,USD,null,
118,abandoned,NGN,null,
119,success,NGN,NG,
120,abandoned,NGN,null,
121,abandoned,NGN,null,
122,success,NGN,NG,
123,success,NGN,NG,
124,success,NGN,NG,
125,success,NGN,NG,
126,abandoned,USD,IT,
127,abandoned,USD,null,
128,success,NGN,NG,
129,success,NGN,US,
130,success,NGN,NG,
131,failed,NGN,NG,
132,failed,NGN,NG,
133,abandoned,NGN,null,
134,success,NGN,NG,
135,success,NGN,NG,
136,failed,USD,US,
137,abandoned,NGN,null,
138,success,NGN,NG,
139,success,NGN,NG,
140,success,NGN,NG,
141,success,NGN,NG,
142,abandoned,USD,null,
143,abandoned,NGN,null,
144,failed,USD,US,
145,reversed,NGN,NG,
146,success,NGN,NG,
147,abandoned,USD,null,
148,abandoned,NGN,NG,
149,success,NGN,NG,
150,failed,NGN,NG,
151,success,NGN,NG,
152,abandoned,USD,null,
153,success,NGN,NG,
154,abandoned,NGN,null,
155,failed,NGN,NG,
156,success,NGN,NG,
157,success,NGN,NG,
158,abandoned,NGN,NG,
159,success,NGN,US,
160,abandoned,NGN,null,
161,success,NGN,NG,
162,success,USD,GB,
163,abandoned,NGN,null,
164,abandoned,NGN,null,
165,success,NGN,NG,
166,abandoned,USD,null,
167,abandoned,NGN,null,
168,abandoned,NGN,null,
169,failed,NGN,NG,
170,success,NGN,NG,
171,abandoned,NGN,null,
172,success,NGN,NG,
173,success,NGN,NG,
174,failed,NGN,US,
175,abandoned,USD,null,
176,success,NGN,NG,
177,abandoned,NGN,null,
178,abandoned,NGN,null,
179,abandoned,USD,null,
180,success,NGN,NG,
181,failed,NGN,NG,
182,success,NGN,NG,
183,abandoned,NGN,null,
184,abandoned,USD,null,
185,abandoned,NGN,null,
186,success,NGN,NG,
187,abandoned,NGN,null,
188,abandoned,NGN,null,
189,failed,USD,US,
190,abandoned,NGN,null,
191,abandoned,NGN,null,
192,success,NGN,NG,
193,success,NGN,NG,
194,abandoned,NGN,null,
195,success,NGN,NG,
196,failed,USD,NG,
197,success,NGN,NG,
198,success,USD,IE,
199,success,NGN,NG,
200,abandoned,NGN,null,
201,abandoned,NGN,null,
202,abandoned,USD,null,
203,abandoned,NGN,null,
204,failed,NGN,NG,
205,success,USD,NG,
206,success,USD,ZA,
207,abandoned,NGN,null,
208,success,NGN,NG,
209,abandoned,NGN,null,
210,abandoned,NGN,null,
211,success,NGN,NG,
212,success,NGN,NG,
213,abandoned,NGN,null,
214,failed,NGN,NG,
215,abandoned,NGN,null,
216,success,NGN,GB,
217,abandoned,NGN,null,
218,success,USD,US,
219,success,NGN,NG,
220,abandoned,USD,US,
221,success,NGN,NG,
222,success,NGN,NG,
223,failed,USD,US,
224,abandoned,NGN,null,
225,success,NGN,NG,
226,failed,USD,US,
227,abandoned,USD,null,
228,abandoned,NGN,NG,
229,success,NGN,NG,
230,abandoned,NGN,null,
231,failed,NGN,CA,
232,abandoned,NGN,null,
233,success,NGN,NG,
234,abandoned,NGN,null,
235,abandoned,NGN,null,
236,success,NGN,NG,
237,abandoned,NGN,US,
238,success,USD,GB,
239,success,NGN,NG,
240,abandoned,USD,US,
241,abandoned,NGN,null,
242,failed,NGN,NG,
243,failed,USD,US,
244,abandoned,NGN,NG,
245,success,NGN,NG,
246,success,NGN,NG,
247,success,NGN,NG,
248,reversed,NGN,NG,
249,abandoned,NGN,null,
250,success,USD,CA,
251,abandoned,NGN,null,
252,success,NGN,NG,
253,success,NGN,NG,
254,success,NGN,NG,
255,success,NGN,NG,
256,abandoned,USD,null,
257,failed,USD,GB,
258,failed,NGN,NG,
259,success,NGN,NG,
260,abandoned,NGN,null,
261,abandoned,NGN,null,
262,abandoned,USD,null,
263,success,NGN,GB,
264,abandoned,NGN,null,
265,abandoned,NGN,null,
266,failed,NGN,NG,
267,success,NGN,NG,
268,abandoned,NGN,null,
269,abandoned,NGN,null,
270,success,USD,US,
271,success,NGN,NG,
272,success,NGN,GB,
273,success,NGN,NG,
274,abandoned,NGN,null,
275,failed,NGN,NG,
276,success,NGN,NG,
277,success,NGN,NG,
278,abandoned,NGN,null,
279,abandoned,USD,null,
280,abandoned,NGN,null,
281,abandoned,NGN,null,
282,success,NGN,NG,
283,abandoned,NGN,null,
284,abandoned,NGN,null,
285,success,NGN,NG,
286,abandoned,USD,null,
287,abandoned,NGN,null,
288,abandoned,NGN,NG,
289,abandoned,NGN,null,
290,abandoned,USD,null,
291,success,NGN,NG,
292,abandoned,NGN,null,
293,abandoned,NGN,NG,
294,success,NGN,NG,
295,abandoned,NGN,null,
296,success,NGN,NG,
297,abandoned,NGN,null,
298,success,NGN,NG,
299,abandoned,NGN,null,
300,success,USD,GB,
301,success,NGN,ZA,
302,success,NGN,NG,
303,abandoned,USD,null,
304,abandoned,NGN,null,
305,success,NGN,US,
306,success,USD,,
307,failed,USD,US,
308,success,NGN,NG,
309,abandoned,NGN,null,
310,success,NGN,NG,
311,success,NGN,NG,
312,success,NGN,NG,
313,failed,NGN,NG,
314,success,NGN,NG,
315,abandoned,NGN,null,
316,abandoned,NGN,null,
317,success,NGN,NG,
318,success,NGN,NG,
319,success,NGN,NG,
320,abandoned,NGN,null,
321,success,NGN,NG,
322,success,NGN,NG,
323,success,NGN,NG,
324,failed,NGN,NG,
325,success,NGN,NG,
326,abandoned,NGN,null,
327,success,NGN,NG,
328,abandoned,USD,null,
329,abandoned,NGN,null,
330,success,USD,US,
331,abandoned,NGN,null,
332,failed,NGN,NG,
333,abandoned,NGN,null,
334,success,NGN,NG,
335,abandoned,NGN,null,
336,abandoned,NGN,null,
337,failed,USD,US,
338,success,NGN,NG,
339,abandoned,NGN,null,
340,abandoned,NGN,null,
341,success,NGN,NG,
342,success,USD,US,
343,success,NGN,NG,
344,success,NGN,NG,
345,success,NGN,NG,
346,abandoned,NGN,null,
347,abandoned,NGN,null,
348,abandoned,NGN,null,
349,abandoned,NGN,null,
350,abandoned,NGN,null,
351,abandoned,NGN,null,
352,success,NGN,NG,
353,abandoned,USD,null,
354,success,NGN,NG,
355,failed,NGN,,
356,failed,NGN,BD,
357,success,USD,US,
358,abandoned,NGN,null,
359,abandoned,NGN,null,
360,abandoned,NGN,null,
361,failed,USD,NA,
362,success,NGN,NG,
363,success,NGN,NG,
364,success,NGN,NG,
365,abandoned,NGN,null,
366,abandoned,NGN,null,
367,success,NGN,NG,
368,failed,NGN,NG,
369,abandoned,NGN,null,
370,failed,NGN,GB,
371,abandoned,NGN,null,
372,success,NGN,NG,
373,success,NGN,NG,
374,abandoned,NGN,null,
375,failed,NGN,NG,
376,abandoned,USD,null,
377,abandoned,NGN,NG,
378,abandoned,USD,null,
379,abandoned,NGN,null,
380,success,NGN,NG,
381,success,NGN,NG,
382,success,NGN,NG,
383,success,NGN,NG,
384,abandoned,USD,null,
385,abandoned,NGN,null,
386,abandoned,NGN,null,
387,success,NGN,NG,
388,success,NGN,NG,
389,abandoned,USD,US,
390,abandoned,NGN,null,
391,abandoned,NGN,null,
392,success,NGN,NG,
393,abandoned,NGN,null,
394,abandoned,NGN,null,
395,abandoned,USD,null,
396,success,USD,ZA,
397,success,NGN,GB,
398,success,NGN,NG,
399,abandoned,NGN,null,
400,abandoned,NGN,null,
401,reversed,NGN,NG,
402,success,NGN,NG,
403,success,NGN,NG,
404,abandoned,NGN,null,
405,abandoned,NGN,null,
406,success,NGN,NG,
407,success,NGN,NG,
408,success,NGN,NG,
409,success,NGN,GB,
410,reversed,NGN,NG,
411,failed,NGN,CA,
412,success,NGN,NG,
413,failed,NGN,NG,
414,abandoned,NGN,null,
415,failed,NGN,NG,
416,abandoned,NGN,null,
417,success,NGN,NG,
418,abandoned,NGN,null,
419,success,NGN,NG,
420,abandoned,NGN,null,
421,abandoned,NGN,null,
422,success,NGN,NG,
423,abandoned,NGN,null,
424,failed,NGN,US,
425,failed,NGN,null,
426,success,NGN,NG,
427,abandoned,NGN,null,
428,abandoned,NGN,null,
429,success,NGN,NG,
430,success,NGN,NG,
431,success,NGN,NG,
432,success,NGN,NG,
433,abandoned,NGN,null,
434,success,NGN,NG,
435,success,USD,JP,
436,success,NGN,NG,
437,abandoned,NGN,null,
438,abandoned,NGN,null,
439,abandoned,NGN,null,
440,abandoned,NGN,null,
441,success,NGN,NG,
442,success,NGN,NG,
443,abandoned,NGN,null,
444,abandoned,NGN,null,
445,success,NGN,NG,
446,abandoned,NGN,null,
447,abandoned,USD,null,
448,abandoned,NGN,null,
449,reversed,USD,GB,
450,abandoned,NGN,null,
451,abandoned,USD,null,
452,success,NGN,NG,
453,abandoned,NGN,null,
454,abandoned,NGN,null,
455,abandoned,NGN,null,
456,abandoned,NGN,null,
457,success,NGN,NG,
458,failed,USD,US,
459,success,USD,,
460,abandoned,NGN,null,
461,abandoned,NGN,null,
462,abandoned,NGN,null,
463,abandoned,NGN,null,
464,failed,NGN,NG,
465,success,NGN,NG,
466,failed,NGN,US,
467,abandoned,USD,null,
468,abandoned,NGN,null,
469,success,NGN,NG,
470,success,NGN,NG,
471,abandoned,NGN,null,
472,abandoned,NGN,null,
473,abandoned,NGN,null,
474,abandoned,NGN,null,
475,failed,NGN,NG,
476,abandoned,USD,null,
477,success,NGN,NG,
478,success,USD,US,
479,abandoned,NGN,null,
480,abandoned,NGN,null,
481,failed,NGN,null,
482,abandoned,NGN,null,
483,success,USD,,
484,abandoned,NGN,null,
485,success,NGN,NG,
486,success,NGN,NG,
487,failed,NGN,NG,
488,abandoned,NGN,null,
489,abandoned,NGN,null,
490,success,NGN,NG,
491,failed,NGN,null,
492,abandoned,NGN,NG,
493,abandoned,USD,null,
494,success,NGN,NG,
495,abandoned,NGN,null,
496,failed,NGN,NG,
497,success,NGN,NG,
498,abandoned,NGN,null,
499,abandoned,NGN,null,
500,success,NGN,NG,
501,abandoned,NGN,null,
502,abandoned,NGN,null,
503,abandoned,NGN,null,
504,success,NGN,NG,
505,abandoned,USD,null,
506,abandoned,NGN,null,
507,failed,NGN,NG,
508,abandoned,USD,null,
509,success,NGN,NG,
510,abandoned,NGN,null,
511,success,NGN,NG,
512,abandoned,NGN,null,
513,failed,NGN,NG,
514,abandoned,NGN,null,
515,abandoned,NGN,null,
516,success,NGN,NG,
517,success,NGN,NG,
518,success,NGN,NG,
519,success,NGN,NG,
520,abandoned,NGN,NG,
521,failed,USD,US,
522,success,NGN,NG,
523,abandoned,NGN,null,
524,success,NGN,NG,
525,success,NGN,NG,
526,success,NGN,NG,
527,abandoned,NGN,null,
528,success,NGN,NG,
529,abandoned,NGN,null,
530,abandoned,NGN,null,
531,abandoned,NGN,NG,
532,success,NGN,NG,
533,failed,USD,US,
534,failed,NGN,NG,
535,success,USD,GB,
536,abandoned,NGN,null,
537,failed,USD,US,
538,success,NGN,NG,
539,success,NGN,NG,
540,abandoned,NGN,null,
541,abandoned,NGN,null,
542,success,NGN,NG,
543,success,NGN,NG,
544,abandoned,NGN,null,
545,reversed,NGN,NG,
546,abandoned,NGN,null,
547,success,NGN,NG,
548,abandoned,NGN,null,
549,abandoned,NGN,null,
550,abandoned,USD,US,
551,success,NGN,NG,
552,failed,NGN,null,
553,success,NGN,NG,
554,abandoned,NGN,null,
555,success,NGN,NG,
556,abandoned,NGN,null,
557,abandoned,NGN,null,
558,success,USD,US,
559,abandoned,NGN,null,
560,success,NGN,NG,
561,abandoned,NGN,null,
562,failed,USD,US,
563,abandoned,USD,null,
564,abandoned,NGN,null,
565,failed,NGN,NG,
566,abandoned,NGN,null,
567,success,NGN,NG,
568,failed,NGN,GB,
569,abandoned,USD,null,
570,success,NGN,NG,
571,abandoned,NGN,null,
572,abandoned,USD,null,
573,abandoned,NGN,null,
574,success,USD,US,
575,abandoned,USD,null,
576,abandoned,USD,FR,
577,failed,NGN,NG,
578,success,NGN,GB,
579,abandoned,USD,null,
580,failed,NGN,NG,
581,abandoned,NGN,null,
582,success,NGN,NG,
583,success,NGN,NG,
584,abandoned,USD,null,
585,abandoned,NGN,null,
586,abandoned,NGN,null,
587,success,NGN,NG,
588,success,NGN,NG,
589,success,NGN,NG,
590,failed,NGN,NG,
591,abandoned,NGN,null,
592,success,NGN,NG,
593,abandoned,NGN,NG,
594,abandoned,NGN,null,
595,success,NGN,NG,
596,abandoned,NGN,null,
597,success,NGN,NG,
598,success,NGN,NG,
599,abandoned,NGN,null,
600,abandoned,NGN,null,
601,success,NGN,NG,
602,abandoned,NGN,null,
603,abandoned,NGN,null,
604,success,NGN,NG,
605,abandoned,NGN,null,
606,failed,NGN,NG,
607,success,NGN,NG,
608,failed,USD,US,
609,success,NGN,NG,
610,success,NGN,NG,
611,abandoned,NGN,NG,
612,abandoned,NGN,null,
613,failed,NGN,NG,
614,success,NGN,NG,
615,success,NGN,NG,
616,success,NGN,NG,
617,abandoned,NGN,null,
618,success,NGN,NG,
619,abandoned,NGN,null,
620,abandoned,NGN,null,
621,abandoned,USD,GB,
622,abandoned,NGN,null,
623,abandoned,NGN,null,
624,success,NGN,NG,
625,success,NGN,NG,
626,abandoned,NGN,null,
627,abandoned,USD,US,
628,failed,NGN,GB,
629,abandoned,NGN,null,
630,abandoned,NGN,null,
631,abandoned,NGN,null,
632,success,NGN,NG,
633,abandoned,NGN,null,
634,success,NGN,NG,
635,abandoned,NGN,null,
636,failed,NGN,NG,
637,success,NGN,NG,
638,success,NGN,NG,
639,failed,NGN,NG,
640,success,NGN,NG,
641,abandoned,USD,null,
642,abandoned,NGN,null,
643,success,NGN,NG,
644,success,NGN,NG,
645,failed,NGN,NG,
646,abandoned,NGN,null,
647,success,NGN,NG,
648,abandoned,NGN,null,
649,abandoned,NGN,null,
650,success,NGN,NG,
651,success,NGN,NG,
652,abandoned,NGN,null,
653,success,NGN,NG,
654,abandoned,NGN,NG,
655,success,NGN,NG,
656,abandoned,NGN,null,
657,success,NGN,NG,
658,success,NGN,NG,
659,success,NGN,NG,
660,success,NGN,NG,
661,success,NGN,NG,
662,failed,NGN,NG,
663,abandoned,NGN,null,
664,abandoned,USD,US,
665,abandoned,NGN,null,
666,success,NGN,NG,
667,abandoned,NGN,null,
668,failed,USD,US,
669,success,NGN,NG,
670,success,NGN,NG,
671,success,NGN,NG,
672,abandoned,NGN,null,
673,success,NGN,NG,
674,failed,USD,US,
675,success,NGN,NG,
676,success,NGN,NG,
677,failed,NGN,NG,
678,success,NGN,NG,
679,abandoned,NGN,null,
680,success,NGN,NG,
681,abandoned,NGN,null,
682,failed,NGN,NG,
683,success,NGN,NG,
684,failed,NGN,CA,
685,success,NGN,NG,
686,failed,NGN,NG,
687,abandoned,NGN,null,
688,success,NGN,NG,
689,success,NGN,NG,
690,abandoned,NGN,null,
691,abandoned,USD,null,
692,success,NGN,NG,
693,success,NGN,NG,
694,abandoned,NGN,null,
695,success,NGN,NG,
696,success,USD,UA,
697,abandoned,NGN,null,
698,abandoned,NGN,null,
699,abandoned,NGN,NG,
700,success,USD,GB,
701,success,NGN,NG,
702,success,NGN,NG,
703,abandoned,NGN,null,
704,success,NGN,NG,
705,abandoned,NGN,null,
706,success,NGN,NG,
707,abandoned,NGN,null,
708,abandoned,USD,null,
709,success,NGN,NG,
710,abandoned,NGN,null,
711,success,NGN,NG,
712,abandoned,NGN,null,
713,abandoned,NGN,null,
714,abandoned,NGN,null,
715,success,NGN,NG,
716,abandoned,NGN,null,
717,success,NGN,NG,
718,abandoned,NGN,null,
719,success,NGN,NG,
720,abandoned,NGN,null,
721,reversed,NGN,NG,
722,success,NGN,NG,
723,failed,NGN,NG,
724,abandoned,NGN,null,
725,abandoned,NGN,null,
726,abandoned,NGN,null,
727,failed,NGN,NG,
728,success,NGN,NG,
729,abandoned,USD,null,
730,success,NGN,NG,
731,abandoned,NGN,null,
732,success,NGN,NG,
733,success,NGN,NG,
734,abandoned,NGN,null,
735,abandoned,NGN,null,
736,success,NGN,NG,
737,abandoned,NGN,null,
738,success,NGN,NG,
739,abandoned,NGN,null,
740,failed,NGN,NG,
741,abandoned,NGN,null,
742,abandoned,NGN,null,
743,success,NGN,NG,
744,failed,NGN,GB,
745,abandoned,NGN,null,
746,abandoned,NGN,null,
747,abandoned,NGN,null,
748,success,USD,GB,
749,abandoned,NGN,null,
750,abandoned,NGN,null,
751,abandoned,USD,null,
752,failed,NGN,US,
753,success,NGN,NG,
754,abandoned,NGN,null,
755,success,NGN,NG,
756,success,NGN,NG,
757,abandoned,NGN,null,
758,success,NGN,NG,
759,abandoned,USD,US,
760,failed,NGN,GB,
761,abandoned,NGN,null,
762,failed,NGN,NG,
763,failed,NGN,NG,
764,abandoned,USD,null,
765,abandoned,NGN,null,
766,success,NGN,NG,
767,abandoned,USD,US,
768,success,NGN,NG,
769,abandoned,NGN,null,
770,abandoned,USD,US,
771,success,NGN,NG,
772,abandoned,NGN,null,
773,abandoned,NGN,null,
774,success,NGN,NG,
775,success,NGN,NG,
776,abandoned,NGN,null,
777,success,NGN,NG,
778,success,NGN,NG,
779,success,NGN,NG,
780,abandoned,NGN,null,
781,reversed,NGN,NG,
782,abandoned,NGN,null,
783,success,NGN,NG,
784,abandoned,NGN,null,
785,failed,NGN,NG,
786,abandoned,USD,null,
787,abandoned,USD,null,
788,abandoned,USD,null,
789,success,NGN,NG,
790,abandoned,NGN,null,
791,success,USD,CA,
792,success,NGN,NG,
793,abandoned,USD,null,
794,success,NGN,NG,
795,success,USD,GB,
796,abandoned,NGN,NG,
797,abandoned,NGN,GB,
798,success,NGN,NG,
799,abandoned,NGN,null,
800,success,NGN,NG,
801,abandoned,NGN,null,
802,abandoned,NGN,null,
803,abandoned,NGN,null,
804,abandoned,USD,US,
805,success,NGN,GB,
806,abandoned,NGN,null,
807,abandoned,NGN,null,
808,success,NGN,NG,
809,success,NGN,NG,
810,abandoned,NGN,NG,
811,abandoned,NGN,null,
812,success,NGN,NG,
813,success,NGN,NG,
814,abandoned,USD,null,
815,abandoned,NGN,NG,
816,success,NGN,NG,
817,abandoned,USD,null,
818,abandoned,NGN,null,
819,abandoned,USD,FR,
820,abandoned,NGN,null,
821,success,NGN,NG,
822,failed,NGN,NG,
823,abandoned,NGN,null,
824,abandoned,NGN,null,
825,failed,USD,US,
826,success,NGN,NG,
827,abandoned,NGN,null,
828,success,NGN,NG,
829,abandoned,NGN,null,
830,abandoned,NGN,null,
831,success,USD,US,
832,success,NGN,NG,
833,abandoned,USD,US,
834,abandoned,NGN,null,
835,failed,NGN,NG,
836,failed,NGN,NG,
837,success,NGN,NG,
838,success,NGN,NG,
839,abandoned,USD,null,
840,abandoned,NGN,null,
841,abandoned,NGN,null,
