id,status,currency,country_code,country_name,,,Summary,
3,abandoned,NGN,null,null,,,Row Labels,Count of id
6,abandoned,NGN,null,null,,,abandoned,1285
8,abandoned,USD,null,null,,,failed,14
9,abandoned,NGN,null,null,,,success,14
10,abandoned,NGN,null,null,,,Grand Total,1313
17,abandoned,NGN,null,null,,,,
18,abandoned,NGN,null,null,,,,
23,abandoned,NGN,null,null,,,,
28,failed,NGN,null,null,,,,
30,abandoned,USD,null,null,,,,
33,abandoned,USD,null,null,,,,
35,abandoned,NGN,null,null,,,,
37,abandoned,USD,null,null,,,,
38,abandoned,NGN,null,null,,,,
42,abandoned,NGN,null,null,,,,
43,abandoned,NGN,null,null,,,,
45,abandoned,NGN,null,null,,,,
46,abandoned,NGN,null,null,,,,
47,abandoned,NGN,null,null,,,,
49,abandoned,NGN,null,null,,,,
52,abandoned,NGN,null,null,,,,
54,abandoned,NGN,null,null,,,,
55,abandoned,NGN,null,null,,,,
58,abandoned,NGN,null,null,,,,
64,abandoned,NGN,null,null,,,,
66,abandoned,USD,null,null,,,,
67,success,NGN,null,null,,,,
68,abandoned,NGN,null,null,,,,
69,abandoned,NGN,null,null,,,,
71,abandoned,NGN,null,null,,,,
72,abandoned,USD,null,null,,,,
73,abandoned,NGN,null,null,,,,
74,abandoned,NGN,null,null,,,,
76,abandoned,NGN,null,null,,,,
79,abandoned,NGN,null,null,,,,
82,abandoned,NGN,null,null,,,,
86,abandoned,NGN,null,null,,,,
90,abandoned,NGN,null,null,,,,
91,abandoned,NGN,null,null,,,,
93,abandoned,NGN,null,null,,,,
94,abandoned,NGN,null,null,,,,
96,abandoned,USD,null,null,,,,
99,abandoned,NGN,null,null,,,,
100,abandoned,USD,null,null,,,,
102,abandoned,NGN,null,null,,,,
105,abandoned,NGN,null,null,,,,
106,success,USD,null,null,,,,
107,abandoned,NGN,null,null,,,,
109,abandoned,NGN,null,null,,,,
110,abandoned,NGN,null,null,,,,
111,abandoned,USD,null,null,,,,
112,abandoned,NGN,null,null,,,,
114,abandoned,NGN,null,null,,,,
115,abandoned,NGN,null,null,,,,
117,abandoned,NGN,null,null,,,,
118,abandoned,USD,null,null,,,,
119,abandoned,NGN,null,null,,,,
121,abandoned,NGN,null,null,,,,
122,abandoned,NGN,null,null,,,,
128,abandoned,USD,null,null,,,,
134,abandoned,NGN,null,null,,,,
138,abandoned,NGN,null,null,,,,
143,abandoned,USD,null,null,,,,
144,abandoned,NGN,null,null,,,,
148,abandoned,USD,null,null,,,,
153,abandoned,USD,null,null,,,,
155,abandoned,NGN,null,null,,,,
161,abandoned,NGN,null,null,,,,
164,abandoned,NGN,null,null,,,,
165,abandoned,NGN,null,null,,,,
167,abandoned,USD,null,null,,,,
168,abandoned,NGN,null,null,,,,
169,abandoned,NGN,null,null,,,,
172,abandoned,NGN,null,null,,,,
176,abandoned,USD,null,null,,,,
178,abandoned,NGN,null,null,,,,
179,abandoned,NGN,null,null,,,,
180,abandoned,USD,null,null,,,,
184,abandoned,NGN,null,null,,,,
185,abandoned,USD,null,null,,,,
186,abandoned,NGN,null,null,,,,
188,abandoned,NGN,null,null,,,,
189,abandoned,NGN,null,null,,,,
191,abandoned,NGN,null,null,,,,
192,abandoned,NGN,null,null,,,,
195,abandoned,NGN,null,null,,,,
201,abandoned,NGN,null,null,,,,
202,abandoned,NGN,null,null,,,,
203,abandoned,USD,null,null,,,,
204,abandoned,NGN,null,null,,,,
208,abandoned,NGN,null,null,,,,
210,abandoned,NGN,null,null,,,,
211,abandoned,NGN,null,null,,,,
214,abandoned,NGN,null,null,,,,
216,abandoned,NGN,null,null,,,,
218,abandoned,NGN,null,null,,,,
225,abandoned,NGN,null,null,,,,
228,abandoned,USD,null,null,,,,
231,abandoned,NGN,null,null,,,,
233,abandoned,NGN,null,null,,,,
235,abandoned,NGN,null,null,,,,
236,abandoned,NGN,null,null,,,,
242,abandoned,NGN,null,null,,,,
250,abandoned,NGN,null,null,,,,
252,abandoned,NGN,null,null,,,,
257,abandoned,USD,null,null,,,,
261,abandoned,NGN,null,null,,,,
262,abandoned,NGN,null,null,,,,
263,abandoned,USD,null,null,,,,
265,abandoned,NGN,null,null,,,,
266,abandoned,NGN,null,null,,,,
269,abandoned,NGN,null,null,,,,
270,abandoned,NGN,null,null,,,,
275,abandoned,NGN,null,null,,,,
279,abandoned,NGN,null,null,,,,
280,abandoned,USD,null,null,,,,
281,abandoned,NGN,null,null,,,,
282,abandoned,NGN,null,null,,,,
284,abandoned,NGN,null,null,,,,
285,abandoned,NGN,null,null,,,,
287,abandoned,USD,null,null,,,,
288,abandoned,NGN,null,null,,,,
290,abandoned,NGN,null,null,,,,
291,abandoned,USD,null,null,,,,
293,abandoned,NGN,null,null,,,,
296,abandoned,NGN,null,null,,,,
298,abandoned,NGN,null,null,,,,
300,abandoned,NGN,null,null,,,,
304,abandoned,USD,null,null,,,,
305,abandoned,NGN,null,null,,,,
307,success,USD,null,null,,,,
310,abandoned,NGN,null,null,,,,
316,abandoned,NGN,null,null,,,,
317,abandoned,NGN,null,null,,,,
321,abandoned,NGN,null,null,,,,
327,abandoned,NGN,null,null,,,,
329,abandoned,USD,null,null,,,,
330,abandoned,NGN,null,null,,,,
332,abandoned,NGN,null,null,,,,
334,abandoned,NGN,null,null,,,,
336,abandoned,NGN,null,null,,,,
337,abandoned,NGN,null,null,,,,
340,abandoned,NGN,null,null,,,,
341,abandoned,NGN,null,null,,,,
347,abandoned,NGN,null,null,,,,
348,abandoned,NGN,null,null,,,,
349,abandoned,NGN,null,null,,,,
350,abandoned,NGN,null,null,,,,
351,abandoned,NGN,null,null,,,,
352,abandoned,NGN,null,null,,,,
354,abandoned,USD,null,null,,,,
356,failed,NGN,null,null,,,,
359,abandoned,NGN,null,null,,,,
360,abandoned,NGN,null,null,,,,
361,abandoned,NGN,null,null,,,,
366,abandoned,NGN,null,null,,,,
367,abandoned,NGN,null,null,,,,
370,abandoned,NGN,null,null,,,,
372,abandoned,NGN,null,null,,,,
375,abandoned,NGN,null,null,,,,
377,abandoned,USD,null,null,,,,
379,abandoned,USD,null,null,,,,
380,abandoned,NGN,null,null,,,,
385,abandoned,USD,null,null,,,,
386,abandoned,NGN,null,null,,,,
387,abandoned,NGN,null,null,,,,
391,abandoned,NGN,null,null,,,,
392,abandoned,NGN,null,null,,,,
394,abandoned,NGN,null,null,,,,
395,abandoned,NGN,null,null,,,,
396,abandoned,USD,null,null,,,,
400,abandoned,NGN,null,null,,,,
401,abandoned,NGN,null,null,,,,
405,abandoned,NGN,null,null,,,,
406,abandoned,NGN,null,null,,,,
415,abandoned,NGN,null,null,,,,
417,abandoned,NGN,null,null,,,,
419,abandoned,NGN,null,null,,,,
421,abandoned,NGN,null,null,,,,
422,abandoned,NGN,null,null,,,,
424,abandoned,NGN,null,null,,,,
426,failed,NGN,null,null,,,,
428,abandoned,NGN,null,null,,,,
429,abandoned,NGN,null,null,,,,
434,abandoned,NGN,null,null,,,,
438,abandoned,NGN,null,null,,,,
439,abandoned,NGN,null,null,,,,
440,abandoned,NGN,null,null,,,,
441,abandoned,NGN,null,null,,,,
444,abandoned,NGN,null,null,,,,
445,abandoned,NGN,null,null,,,,
447,abandoned,NGN,null,null,,,,
448,abandoned,USD,null,null,,,,
449,abandoned,NGN,null,null,,,,
451,abandoned,NGN,null,null,,,,
452,abandoned,USD,null,null,,,,
454,abandoned,NGN,null,null,,,,
455,abandoned,NGN,null,null,,,,
456,abandoned,NGN,null,null,,,,
457,abandoned,NGN,null,null,,,,
460,success,USD,null,null,,,,
461,abandoned,NGN,null,null,,,,
462,abandoned,NGN,null,null,,,,
463,abandoned,NGN,null,null,,,,
464,abandoned,NGN,null,null,,,,
468,abandoned,USD,null,null,,,,
469,abandoned,NGN,null,null,,,,
472,abandoned,NGN,null,null,,,,
473,abandoned,NGN,null,null,,,,
474,abandoned,NGN,null,null,,,,
475,abandoned,NGN,null,null,,,,
477,abandoned,USD,null,null,,,,
480,abandoned,NGN,null,null,,,,
481,abandoned,NGN,null,null,,,,
482,failed,NGN,null,null,,,,
483,abandoned,NGN,null,null,,,,
484,success,USD,null,null,,,,
485,abandoned,NGN,null,null,,,,
489,abandoned,NGN,null,null,,,,
490,abandoned,NGN,null,null,,,,
492,failed,NGN,null,null,,,,
494,abandoned,USD,null,null,,,,
496,abandoned,NGN,null,null,,,,
499,abandoned,NGN,null,null,,,,
500,abandoned,NGN,null,null,,,,
502,abandoned,NGN,null,null,,,,
503,abandoned,NGN,null,null,,,,
504,abandoned,NGN,null,null,,,,
506,abandoned,USD,null,null,,,,
507,abandoned,NGN,null,null,,,,
509,abandoned,USD,null,null,,,,
511,abandoned,NGN,null,null,,,,
513,abandoned,NGN,null,null,,,,
515,abandoned,NGN,null,null,,,,
516,abandoned,NGN,null,null,,,,
524,abandoned,NGN,null,null,,,,
528,abandoned,NGN,null,null,,,,
530,abandoned,NGN,null,null,,,,
531,abandoned,NGN,null,null,,,,
537,abandoned,NGN,null,null,,,,
541,abandoned,NGN,null,null,,,,
542,abandoned,NGN,null,null,,,,
545,abandoned,NGN,null,null,,,,
547,abandoned,NGN,null,null,,,,
549,abandoned,NGN,null,null,,,,
550,abandoned,NGN,null,null,,,,
553,failed,NGN,null,null,,,,
555,abandoned,NGN,null,null,,,,
557,abandoned,NGN,null,null,,,,
558,abandoned,NGN,null,null,,,,
560,abandoned,NGN,null,null,,,,
562,abandoned,NGN,null,null,,,,
564,abandoned,USD,null,null,,,,
565,abandoned,NGN,null,null,,,,
567,abandoned,NGN,null,null,,,,
570,abandoned,USD,null,null,,,,
572,abandoned,NGN,null,null,,,,
573,abandoned,USD,null,null,,,,
574,abandoned,NGN,null,null,,,,
576,abandoned,USD,null,null,,,,
580,abandoned,USD,null,null,,,,
582,abandoned,NGN,null,null,,,,
585,abandoned,USD,null,null,,,,
586,abandoned,NGN,null,null,,,,
587,abandoned,NGN,null,null,,,,
592,abandoned,NGN,null,null,,,,
595,abandoned,NGN,null,null,,,,
597,abandoned,NGN,null,null,,,,
600,abandoned,NGN,null,null,,,,
601,abandoned,NGN,null,null,,,,
603,abandoned,NGN,null,null,,,,
604,abandoned,NGN,null,null,,,,
606,abandoned,NGN,null,null,,,,
613,abandoned,NGN,null,null,,,,
618,abandoned,NGN,null,null,,,,
620,abandoned,NGN,null,null,,,,
621,abandoned,NGN,null,null,,,,
623,abandoned,NGN,null,null,,,,
624,abandoned,NGN,null,null,,,,
627,abandoned,NGN,null,null,,,,
630,abandoned,NGN,null,null,,,,
631,abandoned,NGN,null,null,,,,
632,abandoned,NGN,null,null,,,,
634,abandoned,NGN,null,null,,,,
636,abandoned,NGN,null,null,,,,
642,abandoned,USD,null,null,,,,
643,abandoned,NGN,null,null,,,,
647,abandoned,NGN,null,null,,,,
649,abandoned,NGN,null,null,,,,
650,abandoned,NGN,null,null,,,,
653,abandoned,NGN,null,null,,,,
657,abandoned,NGN,null,null,,,,
664,abandoned,NGN,null,null,,,,
666,abandoned,NGN,null,null,,,,
668,abandoned,NGN,null,null,,,,
673,abandoned,NGN,null,null,,,,
680,abandoned,NGN,null,null,,,,
682,abandoned,NGN,null,null,,,,
688,abandoned,NGN,null,null,,,,
691,abandoned,NGN,null,null,,,,
692,abandoned,USD,null,null,,,,
695,abandoned,NGN,null,null,,,,
698,abandoned,NGN,null,null,,,,
699,abandoned,NGN,null,null,,,,
704,abandoned,NGN,null,null,,,,
706,abandoned,NGN,null,null,,,,
708,abandoned,NGN,null,null,,,,
709,abandoned,USD,null,null,,,,
711,abandoned,NGN,null,null,,,,
713,abandoned,NGN,null,null,,,,
714,abandoned,NGN,null,null,,,,
715,abandoned,NGN,null,null,,,,
717,abandoned,NGN,null,null,,,,
719,abandoned,NGN,null,null,,,,
721,abandoned,NGN,null,null,,,,
725,abandoned,NGN,null,null,,,,
726,abandoned,NGN,null,null,,,,
727,abandoned,NGN,null,null,,,,
730,abandoned,USD,null,null,,,,
732,abandoned,NGN,null,null,,,,
735,abandoned,NGN,null,null,,,,
736,abandoned,NGN,null,null,,,,
738,abandoned,NGN,null,null,,,,
740,abandoned,NGN,null,null,,,,
742,abandoned,NGN,null,null,,,,
743,abandoned,NGN,null,null,,,,
746,abandoned,NGN,null,null,,,,
747,abandoned,NGN,null,null,,,,
748,abandoned,NGN,null,null,,,,
750,abandoned,NGN,null,null,,,,
751,abandoned,NGN,null,null,,,,
752,abandoned,USD,null,null,,,,
755,abandoned,NGN,null,null,,,,
758,abandoned,NGN,null,null,,,,
762,abandoned,NGN,null,null,,,,
765,abandoned,USD,null,null,,,,
766,abandoned,NGN,null,null,,,,
770,abandoned,NGN,null,null,,,,
773,abandoned,NGN,null,null,,,,
774,abandoned,NGN,null,null,,,,
777,abandoned,NGN,null,null,,,,
781,abandoned,NGN,null,null,,,,
783,abandoned,NGN,null,null,,,,
785,abandoned,NGN,null,null,,,,
787,abandoned,USD,null,null,,,,
788,abandoned,USD,null,null,,,,
789,abandoned,USD,null,null,,,,
791,abandoned,NGN,null,null,,,,
794,abandoned,USD,null,null,,,,
800,abandoned,NGN,null,null,,,,
802,abandoned,NGN,null,null,,,,
803,abandoned,NGN,null,null,,,,
804,abandoned,NGN,null,null,,,,
807,abandoned,NGN,null,null,,,,
808,abandoned,NGN,null,null,,,,
812,abandoned,NGN,null,null,,,,
815,abandoned,USD,null,null,,,,
818,abandoned,USD,null,null,,,,
819,abandoned,NGN,null,null,,,,
821,abandoned,NGN,null,null,,,,
824,abandoned,NGN,null,null,,,,
825,abandoned,NGN,null,null,,,,
828,abandoned,NGN,null,null,,,,
830,abandoned,NGN,null,null,,,,
831,abandoned,NGN,null,null,,,,
835,abandoned,NGN,null,null,,,,
840,abandoned,USD,null,null,,,,
841,abandoned,NGN,null,null,,,,
842,abandoned,NGN,null,null,,,,
843,abandoned,NGN,null,null,,,,
844,abandoned,NGN,null,null,,,,
846,abandoned,NGN,null,null,,,,
848,abandoned,NGN,null,null,,,,
851,abandoned,NGN,null,null,,,,
853,abandoned,NGN,null,null,,,,
855,abandoned,USD,null,null,,,,
856,abandoned,NGN,null,null,,,,
863,abandoned,NGN,null,null,,,,
870,abandoned,USD,null,null,,,,
871,abandoned,NGN,null,null,,,,
872,abandoned,NGN,null,null,,,,
875,abandoned,NGN,null,null,,,,
877,abandoned,NGN,null,null,,,,
878,abandoned,NGN,null,null,,,,
879,abandoned,NGN,null,null,,,,
889,abandoned,NGN,null,null,,,,
893,abandoned,NGN,null,null,,,,
894,abandoned,NGN,null,null,,,,
895,abandoned,NGN,null,null,,,,
896,abandoned,NGN,null,null,,,,
897,abandoned,NGN,null,null,,,,
898,abandoned,USD,null,null,,,,
899,abandoned,NGN,null,null,,,,
914,abandoned,USD,null,null,,,,
918,abandoned,NGN,null,null,,,,
920,abandoned,NGN,null,null,,,,
923,abandoned,NGN,null,null,,,,
924,abandoned,NGN,null,null,,,,
927,abandoned,NGN,null,null,,,,
928,abandoned,NGN,null,null,,,,
929,abandoned,NGN,null,null,,,,
931,abandoned,NGN,null,null,,,,
932,abandoned,NGN,null,null,,,,
933,abandoned,NGN,null,null,,,,
934,abandoned,NGN,null,null,,,,
935,abandoned,NGN,null,null,,,,
936,success,NGN,null,null,,,,
948,abandoned,USD,null,null,,,,
950,abandoned,NGN,null,null,,,,
952,abandoned,NGN,null,null,,,,
954,abandoned,NGN,null,null,,,,
955,abandoned,NGN,null,null,,,,
958,abandoned,USD,null,null,,,,
959,abandoned,NGN,null,null,,,,
964,abandoned,NGN,null,null,,,,
965,abandoned,USD,null,null,,,,
967,abandoned,NGN,null,null,,,,
976,abandoned,USD,null,null,,,,
977,abandoned,NGN,null,null,,,,
978,abandoned,NGN,null,null,,,,
980,abandoned,NGN,null,null,,,,
981,abandoned,NGN,null,null,,,,
986,abandoned,NGN,null,null,,,,
988,abandoned,NGN,null,null,,,,
991,abandoned,NGN,null,null,,,,
997,abandoned,NGN,null,null,,,,
1000,abandoned,NGN,null,null,,,,
1001,success,USD,null,null,,,,
1005,abandoned,NGN,null,null,,,,
1009,abandoned,NGN,null,null,,,,
1013,abandoned,NGN,null,null,,,,
1015,abandoned,NGN,null,null,,,,
1018,abandoned,NGN,null,null,,,,
1024,abandoned,NGN,null,null,,,,
1027,abandoned,USD,null,null,,,,
1028,abandoned,NGN,null,null,,,,
1029,abandoned,NGN,null,null,,,,
1030,abandoned,USD,null,null,,,,
1032,abandoned,USD,null,null,,,,
1036,abandoned,NGN,null,null,,,,
1038,abandoned,NGN,null,null,,,,
1039,abandoned,NGN,null,null,,,,
1040,abandoned,NGN,null,null,,,,
1043,abandoned,NGN,null,null,,,,
1047,abandoned,NGN,null,null,,,,
1055,abandoned,NGN,null,null,,,,
1057,abandoned,NGN,null,null,,,,
1058,abandoned,NGN,null,null,,,,
1060,abandoned,NGN,null,null,,,,
1065,abandoned,NGN,null,null,,,,
1067,abandoned,NGN,null,null,,,,
1069,abandoned,NGN,null,null,,,,
1072,abandoned,NGN,null,null,,,,
1073,abandoned,NGN,null,null,,,,
1075,abandoned,USD,null,null,,,,
1079,abandoned,NGN,null,null,,,,
1081,abandoned,NGN,null,null,,,,
1083,abandoned,NGN,null,null,,,,
1086,abandoned,NGN,null,null,,,,
1087,abandoned,NGN,null,null,,,,
1093,abandoned,NGN,null,null,,,,
1095,abandoned,NGN,null,null,,,,
1099,abandoned,NGN,null,null,,,,
1105,abandoned,NGN,null,null,,,,
1111,abandoned,NGN,null,null,,,,
1112,abandoned,NGN,null,null,,,,
1113,abandoned,USD,null,null,,,,
1114,abandoned,NGN,null,null,,,,
1115,abandoned,NGN,null,null,,,,
1116,abandoned,NGN,null,null,,,,
1119,abandoned,NGN,null,null,,,,
1123,abandoned,NGN,null,null,,,,
1129,abandoned,NGN,null,null,,,,
1131,abandoned,NGN,null,null,,,,
1132,abandoned,NGN,null,null,,,,
1133,abandoned,NGN,null,null,,,,
1135,abandoned,NGN,null,null,,,,
1137,abandoned,NGN,null,null,,,,
1140,abandoned,NGN,null,null,,,,
1142,abandoned,NGN,null,null,,,,
1144,abandoned,NGN,null,null,,,,
1145,abandoned,NGN,null,null,,,,
1149,abandoned,NGN,null,null,,,,
1150,abandoned,USD,null,null,,,,
1153,success,NGN,null,null,,,,
1160,abandoned,NGN,null,null,,,,
1161,abandoned,NGN,null,null,,,,
1165,abandoned,NGN,null,null,,,,
1173,abandoned,NGN,null,null,,,,
1174,abandoned,NGN,null,null,,,,
1176,abandoned,NGN,null,null,,,,
1178,abandoned,NGN,null,null,,,,
1182,abandoned,NGN,null,null,,,,
1197,abandoned,NGN,null,null,,,,
1198,abandoned,USD,null,null,,,,
1199,abandoned,NGN,null,null,,,,
1200,abandoned,NGN,null,null,,,,
1201,abandoned,NGN,null,null,,,,
1204,abandoned,NGN,null,null,,,,
1206,abandoned,USD,null,null,,,,
1207,abandoned,NGN,null,null,,,,
1208,abandoned,NGN,null,null,,,,
1215,abandoned,NGN,null,null,,,,
1220,abandoned,NGN,null,null,,,,
1222,abandoned,NGN,null,null,,,,
1223,failed,NGN,null,null,,,,
1225,abandoned,NGN,null,null,,,,
1229,abandoned,NGN,null,null,,,,
1238,abandoned,USD,null,null,,,,
1239,abandoned,NGN,null,null,,,,
1242,abandoned,NGN,null,null,,,,
1247,abandoned,NGN,null,null,,,,
1251,abandoned,NGN,null,null,,,,
1252,abandoned,USD,null,null,,,,
1258,abandoned,NGN,null,null,,,,
1260,abandoned,NGN,null,null,,,,
1261,abandoned,NGN,null,null,,,,
1263,abandoned,NGN,null,null,,,,
1264,abandoned,NGN,null,null,,,,
1265,abandoned,NGN,null,null,,,,
1266,abandoned,NGN,null,null,,,,
1268,abandoned,NGN,null,null,,,,
1273,abandoned,NGN,null,null,,,,
1280,abandoned,NGN,null,null,,,,
1281,abandoned,NGN,null,null,,,,
1289,abandoned,NGN,null,null,,,,
1292,abandoned,NGN,null,null,,,,
1293,success,USD,null,null,,,,
1296,abandoned,NGN,null,null,,,,
1297,abandoned,NGN,null,null,,,,
1299,abandoned,NGN,null,null,,,,
1301,abandoned,NGN,null,null,,,,
1303,abandoned,NGN,null,null,,,,
1304,abandoned,NGN,null,null,,,,
1307,abandoned,NGN,null,null,,,,
1308,abandoned,NGN,null,null,,,,
1309,abandoned,NGN,null,null,,,,
1310,abandoned,NGN,null,null,,,,
1311,abandoned,NGN,null,null,,,,
1312,abandoned,NGN,null,null,,,,
1314,abandoned,NGN,null,null,,,,
1315,abandoned,NGN,null,null,,,,
1320,abandoned,NGN,null,null,,,,
1323,abandoned,NGN,null,null,,,,
1324,abandoned,NGN,null,null,,,,
1325,abandoned,NGN,null,null,,,,
1328,abandoned,NGN,null,null,,,,
1332,abandoned,NGN,null,null,,,,
1333,abandoned,NGN,null,null,,,,
1336,abandoned,NGN,null,null,,,,
1339,abandoned,NGN,null,null,,,,
1341,abandoned,NGN,null,null,,,,
1344,abandoned,USD,null,null,,,,
1347,abandoned,NGN,null,null,,,,
1348,abandoned,USD,null,null,,,,
1349,abandoned,NGN,null,null,,,,
1351,abandoned,NGN,null,null,,,,
1353,abandoned,NGN,null,null,,,,
1354,abandoned,NGN,null,null,,,,
1355,abandoned,NGN,null,null,,,,
1357,abandoned,NGN,null,null,,,,
1359,abandoned,NGN,null,null,,,,
1360,abandoned,USD,null,null,,,,
1361,abandoned,NGN,null,null,,,,
1367,failed,NGN,null,null,,,,
1368,abandoned,NGN,null,null,,,,
1373,abandoned,NGN,null,null,,,,
1381,success,USD,null,null,,,,
1382,abandoned,NGN,null,null,,,,
1386,abandoned,NGN,null,null,,,,
1388,abandoned,NGN,null,null,,,,
1391,abandoned,NGN,null,null,,,,
1393,abandoned,NGN,null,null,,,,
1396,abandoned,NGN,null,null,,,,
1402,abandoned,NGN,null,null,,,,
1405,abandoned,NGN,null,null,,,,
1406,abandoned,USD,null,null,,,,
1411,abandoned,NGN,null,null,,,,
1412,abandoned,NGN,null,null,,,,
1413,abandoned,NGN,null,null,,,,
1418,abandoned,NGN,null,null,,,,
1421,abandoned,USD,null,null,,,,
1425,abandoned,USD,null,null,,,,
1427,abandoned,NGN,null,null,,,,
1429,abandoned,NGN,null,null,,,,
1430,abandoned,NGN,null,null,,,,
1436,abandoned,NGN,null,null,,,,
1437,abandoned,NGN,null,null,,,,
1438,abandoned,NGN,null,null,,,,
1439,abandoned,NGN,null,null,,,,
1443,abandoned,NGN,null,null,,,,
1445,abandoned,NGN,null,null,,,,
1447,abandoned,NGN,null,null,,,,
1454,abandoned,NGN,null,null,,,,
1455,abandoned,NGN,null,null,,,,
1459,abandoned,NGN,null,null,,,,
1462,abandoned,NGN,null,null,,,,
1465,abandoned,USD,null,null,,,,
1467,abandoned,NGN,null,null,,,,
1470,abandoned,NGN,null,null,,,,
1474,abandoned,NGN,null,null,,,,
1477,abandoned,NGN,null,null,,,,
1480,abandoned,NGN,null,null,,,,
1483,abandoned,USD,null,null,,,,
1489,abandoned,NGN,null,null,,,,
1492,abandoned,NGN,null,null,,,,
1496,abandoned,NGN,null,null,,,,
1498,abandoned,NGN,null,null,,,,
1501,abandoned,NGN,null,null,,,,
1503,abandoned,NGN,null,null,,,,
1505,abandoned,NGN,null,null,,,,
1506,abandoned,NGN,null,null,,,,
1512,abandoned,NGN,null,null,,,,
1528,abandoned,NGN,null,null,,,,
1529,abandoned,NGN,null,null,,,,
1531,abandoned,USD,null,null,,,,
1534,abandoned,NGN,null,null,,,,
1536,abandoned,NGN,null,null,,,,
1537,abandoned,USD,null,null,,,,
1538,abandoned,NGN,null,null,,,,
1539,abandoned,NGN,null,null,,,,
1541,abandoned,NGN,null,null,,,,
1544,abandoned,NGN,null,null,,,,
1545,abandoned,NGN,null,null,,,,
1547,abandoned,NGN,null,null,,,,
1550,abandoned,NGN,null,null,,,,
1555,abandoned,NGN,null,null,,,,
1557,abandoned,NGN,null,null,,,,
1562,abandoned,NGN,null,null,,,,
1563,abandoned,NGN,null,null,,,,
1565,abandoned,NGN,null,null,,,,
1568,abandoned,NGN,null,null,,,,
1570,abandoned,NGN,null,null,,,,
1571,abandoned,NGN,null,null,,,,
1572,abandoned,USD,null,null,,,,
1578,abandoned,NGN,null,null,,,,
1579,abandoned,NGN,null,null,,,,
1582,abandoned,NGN,null,null,,,,
1585,abandoned,NGN,null,null,,,,
1590,abandoned,NGN,null,null,,,,
1593,abandoned,USD,null,null,,,,
1594,abandoned,NGN,null,null,,,,
1595,abandoned,NGN,null,null,,,,
1600,abandoned,NGN,null,null,,,,
1601,abandoned,NGN,null,null,,,,
1602,abandoned,USD,null,null,,,,
1603,abandoned,NGN,null,null,,,,
1609,abandoned,NGN,null,null,,,,
1610,abandoned,NGN,null,null,,,,
1611,abandoned,NGN,null,null,,,,
1612,abandoned,NGN,null,null,,,,
1618,abandoned,NGN,null,null,,,,
1619,abandoned,NGN,null,null,,,,
1624,abandoned,NGN,null,null,,,,
1628,abandoned,NGN,null,null,,,,
1629,abandoned,NGN,null,null,,,,
1630,abandoned,NGN,null,null,,,,
1635,abandoned,NGN,null,null,,,,
1636,abandoned,NGN,null,null,,,,
1637,abandoned,NGN,null,null,,,,
1638,abandoned,USD,null,null,,,,
1643,abandoned,NGN,null,null,,,,
